name,wins,losses,draws,height_cm,weight_in_kg,reach_in_cm,stance,date_of_birth,significant_strikes_landed_per_minute,significant_striking_accuracy,significant_strikes_absorbed_per_minute,significant_strike_defence,average_takedowns_landed_per_15_minutes,takedown_accuracy,takedown_defense,average_submissions_attempted_per_15_minutes
Nurullo Aliev,9,0,0,177.8,70.31,182.88,Orthodox,2000-12-08,2.5,51.0,0.46,59.0,3.06,44.0,0.0,0.0
Danny Davis,13,11,1,187.96,77.11,182.88,Unknown,1900-01-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Shin Haraguchi,7,0,0,167.64,70.31,172.72,Switch,1998-11-27,2.99,70.0,0.65,39.0,14.01,80.0,0.0,0.0
John Matua,1,4,0,187.96,181.44,182.88,Orthodox,1900-01-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Reza Nasri,0,1,0,180.34,92.99,182.88,Orthodox,1900-01-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aaron Trujillo,0,1,0,165.1,56.7,182.88,Unknown,1900-01-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Atsushi Yamamoto,19,11,3,167.64,63.05,182.88,Orthodox,1980-10-02,1.97,39.0,1.27,70.0,1.12,33.0,100.0,0.0
Akira Kikuchi,16,4,0,172.72,70.31,182.88,Orthodox,1978-07-23,3.67,56.0,0.4,14.0,2.0,40.0,100.0,0.0
Marcelo Brito,13,8,0,185.42,77.11,182.88,Orthodox,1977-11-27,0.6,20.0,3.53,55.0,0.0,0.0,50.0,0.0
Reese Andy,7,3,0,182.88,92.99,182.88,Orthodox,1973-03-31,2.87,50.0,3.5,58.0,0.67,20.0,40.0,0.0
Fredy Serrano,3,2,0,160.02,56.7,165.1,Orthodox,1979-09-22,1.58,26.0,1.89,61.0,2.84,25.0,84.0,0.0
Daniel Gallemore,7,3,0,195.58,120.2,182.88,Unknown,1900-01-01,3.1,41.0,6.0,52.0,0.0,0.0,0.0,0.0
Alexander Poppeck,9,3,0,187.96,92.99,182.88,Orthodox,1992-04-06,4.01,57.0,9.81,33.0,0.0,0.0,0.0,0.0
Dillon Smith,0,0,0,182.88,77.11,182.88,Unknown,1900-01-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cesar Almeida,4,0,0,185.42,83.91,187.96,Orthodox,1988-03-28,4.73,61.0,1.87,48.0,0.0,0.0,70.0,0.0
Hugo Cunha,6,0,0,193.04,113.4,182.88,Unknown,1900-01-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jason McLean,6,7,0,165.1,65.77,182.88,Unknown,1900-01-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Laverne Clark,27,21,1,180.34,77.11,182.88,Orthodox,1973-12-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Adrienna Jenkins,19,6,0,172.72,65.77,182.88,Unknown,1900-01-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Val Woodburn,7,1,0,172.72,83.91,187.96,Orthodox,1993-08-10,3.16,22.0,11.05,30.0,0.0,0.0,100.0,0.0
David Lee,12,10,0,177.8,70.31,182.88,Orthodox,1900-01-01,1.49,50.0,3.31,42.0,0.0,0.0,50.0,0.0
Fabio Mello,11,8,0,165.1,70.31,182.88,Southpaw,1900-01-01,0.86,35.0,3.94,50.0,0.0,0.0,0.0,0.0
Rosi Sexton,13,5,0,160.02,61.23,182.88,Orthodox,1977-07-16,3.31,39.0,7.42,41.0,0.75,10.0,80.0,0.0
Claudio Ribeiro,11,4,0,185.42,83.91,195.58,Orthodox,1992-07-17,4.65,57.0,3.34,31.0,0.76,50.0,75.0,0.0
Dave Rickels,18,4,0,180.34,70.31,182.88,Unknown,1900-01-01,4.29,59.0,5.53,42.0,0.0,0.0,25.0,0.0
Ben Reiter,17,2,1,190.5,83.91,182.88,Unknown,1900-01-01,1.8,46.0,1.53,54.0,7.0,43.0,0.0,0.0
Ryan Madigan,5,3,0,182.88,77.11,182.88,Orthodox,1900-01-01,0.0,0.0,3.35,47.0,0.0,0.0,0.0,0.0
Joey Roberts,4,3,0,187.96,90.72,182.88,Unknown,1900-01-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Richie Smullen,3,1,1,175.26,70.31,172.72,Orthodox,1991-08-17,1.98,77.0,2.26,65.0,8.49,66.0,0.0,0.0
Alberta Cerra Leon,0,1,0,172.72,107.95,182.88,Unknown,1900-01-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Andrew Todhunter,8,0,0,182.88,83.91,182.88,Switch,1987-11-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Horacio Gutierrez,4,3,0,177.8,65.77,182.88,Unknown,1900-01-01,0.86,26.0,2.91,46.0,0.0,0.0,50.0,0.0
Kolton Englund,9,4,0,177.8,70.31,175.26,Orthodox,1993-07-09,2.31,25.0,11.54,40.0,0.0,0.0,0.0,0.0
Wagner Silva,6,3,0,182.88,77.11,182.88,Orthodox,1987-02-07,1.69,29.0,2.87,65.0,0.0,0.0,58.0,0.0
Kevin Knabjian,12,7,1,177.8,77.11,182.88,Orthodox,1984-07-05,0.0,0.0,15.56,22.0,0.0,0.0,100.0,0.0
Alonzo Martinez,42,20,1,177.8,70.31,182.88,Unknown,1900-01-01,3.07,27.0,7.33,52.0,0.0,0.0,0.0,0.0
Taiyilake Nueraji,9,1,0,187.96,77.11,190.5,Southpaw,2001-01-12,11.01,48.0,7.39,58.0,0.0,0.0,0.0,0.0
Jorge Ortiz,18,9,1,182.88,83.91,182.88,Orthodox,1900-01-01,3.53,58.0,2.8,73.0,0.0,0.0,0.0,0.0
Mark Madsen,12,2,0,172.72,70.31,182.88,Orthodox,1984-09-23,3.56,49.0,3.97,52.0,2.86,66.0,62.0,0.0
Ahmad Hassanzada,10,2,0,185.42,70.31,190.5,Orthodox,1996-11-20,2.59,34.0,4.42,40.0,2.5,22.0,0.0,0.0
Josh San Diego,8,3,0,177.8,61.23,182.88,Unknown,1900-01-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Rafael Fiziev,12,3,0,172.72,70.31,180.34,Switch,1993-03-05,4.9,51.0,4.97,49.0,0.29,40.0,89.0,0.0
JJ Okanovich,7,1,0,180.34,70.31,193.04,Orthodox,1990-11-04,6.93,55.0,5.27,50.0,0.0,0.0,100.0,0.0
Abu Azaitar,14,4,1,175.26,83.91,193.04,Orthodox,1986-03-10,4.38,43.0,4.32,51.0,1.0,37.0,42.0,0.0
Ariel Gandulla,7,9,0,180.34,92.99,182.88,Orthodox,1968-05-07,1.95,23.0,2.07,72.0,1.88,66.0,0.0,0.0
Dave Courchaine,20,7,0,172.72,77.11,182.88,Unknown,1900-01-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Johnny Rhodes,2,1,0,182.88,95.25,182.88,Orthodox,1900-01-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pat Benson,3,5,3,175.26,70.31,182.88,Unknown,1900-01-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Vitaly Minakov,20,0,0,187.96,112.94,182.88,Unknown,1900-01-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Byron Bloodworth,6,3,0,172.72,61.23,182.88,Orthodox,1983-08-16,1.82,28.0,5.18,50.0,0.0,0.0,0.0,0.0
Cameron VanCamp,15,7,1,187.96,70.31,187.96,Switch,1993-04-27,5.31,47.0,6.41,40.0,0.0,0.0,0.0,0.0
Steve White,1,4,0,180.34,79.38,182.88,Unknown,1900-01-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Stephen Ledbetter,8,3,0,175.26,65.77,182.88,Orthodox,1982-06-30,1.2,38.0,1.6,57.0,5.0,45.0,100.0,0.0
Kengo Watanabe,8,13,3,193.04,99.79,182.88,Orthodox,1976-01-31,0.6,40.0,3.4,35.0,1.0,100.0,37.0,0.0
Augusto Mendes,6,2,0,167.64,61.23,165.1,Orthodox,1983-03-03,2.42,34.0,3.91,56.0,1.75,33.0,80.0,0.0
Ike Villanueva,18,14,0,185.42,92.99,185.42,Orthodox,1984-04-04,3.66,38.0,7.24,36.0,0.6,50.0,100.0,0.0
Kenji Arai,15,15,5,177.8,65.77,182.88,Southpaw,1979-10-05,8.79,27.0,10.29,39.0,0.0,0.0,0.0,0.0
Waachiim Spiritwolf,12,13,1,172.72,77.11,182.88,Unknown,1900-01-01,10.0,100.0,10.0,0.0,0.0,0.0,0.0,0.0
Norman Parke,23,6,1,180.34,70.31,177.8,Southpaw,1986-12-22,3.06,35.0,2.88,64.0,1.98,26.0,77.0,0.0
Alan Baudot,8,3,0,190.5,110.22,200.66,Orthodox,1988-02-01,5.36,58.0,4.82,46.0,0.0,0.0,62.0,0.0
Guilherme Viana,7,3,0,193.04,92.99,182.88,Unknown,1900-01-01,2.92,40.0,2.72,59.0,1.2,66.0,77.0,0.0
Manuel Gaxhja,7,0,0,172.72,70.31,182.88,Switch,1997-07-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jairzinho Rozenstruik,13,5,0,187.96,109.77,198.12,Orthodox,1988-03-17,2.81,45.0,3.15,45.0,0.0,0.0,73.0,0.0
Tanner Boser,21,10,1,187.96,92.99,190.5,Orthodox,1991-08-02,4.7,52.0,2.75,58.0,0.0,0.0,63.0,0.0
Eldari Kurtanidze,0,1,0,167.64,106.59,182.88,Orthodox,1972-04-16,0.47,20.0,3.72,60.0,0.0,0.0,0.0,0.0
Jesus Pinedo,16,5,1,177.8,70.31,182.88,Southpaw,1996-06-22,3.23,38.0,4.37,52.0,2.5,100.0,100.0,0.0
Mitch Raposo,5,1,0,165.1,56.7,162.56,Switch,1998-10-16,2.57,25.0,3.18,56.0,3.67,66.0,0.0,0.0
Gary Frazier,3,3,0,182.88,111.13,182.88,Orthodox,1900-01-01,1.5,39.0,2.77,46.0,0.0,0.0,100.0,0.0
Francois Botha,0,1,0,187.96,117.93,182.88,Orthodox,1968-09-28,0.0,0.0,1.05,77.0,0.0,0.0,0.0,0.0
Todd Butler,1,4,0,185.42,90.72,182.88,Southpaw,1900-01-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kelly Kobold,19,3,1,167.64,61.23,182.88,Orthodox,1983-02-25,2.33,21.0,4.11,59.0,1.67,11.0,0.0,0.0
John Lewis,3,4,3,182.88,70.31,182.88,Southpaw,1900-01-01,0.0,0.0,4.0,66.0,0.0,0.0,0.0,0.0
Andrew Ramm,4,4,0,185.42,72.57,182.88,Unknown,1900-01-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ruben Villareal,22,28,3,193.04,120.2,182.88,Orthodox,1970-05-01,5.18,53.0,4.86,35.0,0.0,0.0,0.0,0.0
Micheal Gillmore,6,5,0,180.34,77.11,182.88,Orthodox,1987-03-28,2.04,57.0,3.02,43.0,0.0,0.0,50.0,0.0
Fabio Cherant,7,4,0,185.42,92.99,187.96,Southpaw,1994-11-25,1.35,40.0,4.89,38.0,0.0,0.0,0.0,0.0
Mayana Kellem,7,1,0,165.1,61.23,182.88,Orthodox,1981-07-07,1.94,22.0,2.9,62.0,0.0,0.0,0.0,0.0
Puja Tomar,8,4,0,,52.16,182.88,Unknown,1900-01-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Elvis Mutapcic,15,6,1,182.88,83.91,182.88,Orthodox,1986-07-19,3.41,40.0,4.27,38.0,0.0,0.0,81.0,0.0
Alexander Sarnavskiy,35,6,0,180.34,70.31,182.88,Unknown,1900-01-01,1.43,66.0,2.06,42.0,0.0,0.0,75.0,0.0
Joe Merritt,7,2,0,182.88,77.11,182.88,Orthodox,1984-03-07,1.53,58.0,0.73,66.0,0.0,0.0,68.0,0.0
Aliev Makhmud,0,1,0,167.64,88.45,182.88,Southpaw,1970-02-13,1.12,30.0,2.24,36.0,2.1,50.0,0.0,0.0
